,n_total,n_nohtn,n_htn,proportion_total,proportion_nohtn,proportion_htn,p_value
TOTALS,759.7455974540201,183.53009247332,576.2155049807,1.0,0.2415678262412403,0.7584321737587597,
AGE_BIN_Age 26-44,252.10170402341936,65.23458599628972,186.8671180271305,0.3318238432288805,0.355443541258889,0.3243007458353284,0.0
AGE_BIN_Age 45-65,229.8849756421839,45.66438501495017,184.22059062723173,0.302581517303353,0.24881143140919745,0.3197077986184928,0.0
AGE_BIN_Age 18-25,115.12059593776966,39.52178272891998,75.59881320884901,0.1515251899103433,0.21534224821831008,0.13119885278230664,0.0
AGE_BIN_Age over 65,162.63832185065138,33.10933873315989,129.5289831174891,0.2140694495574111,0.18040277911357927,0.22479260276382412,0.0
SEX_Male,329.30465910315337,68.32797577088976,260.97668333226846,0.4334406941042881,0.3722984871313194,0.45291506576345425,0.0
SEX_Female,430.4409383508543,115.20211670242922,315.2388216484182,0.5665593058956779,0.6277015128686521,0.5470849342364739,0.0
HX_HTN,249.92956548179922,39.26586704604998,210.66369843574935,0.3289648091668219,0.21394784101553924,0.36559880220993907,0.0
VDAYR_Monday,124.45048701306087,30.00237743235994,94.44810958069871,0.16380547308217924,0.16347388609702102,0.16391108667556178,0.0
VDAYR_Tuesday,114.68131927544869,27.670458478909996,87.01086079653898,0.15094700075887862,0.15076796456652933,0.15100402548079495,0.0
VDAYR_Wednesday,109.99616659084825,27.142335769349952,82.85383082149909,0.14478026191853424,0.14789038355274106,0.1437896587393465,0.0
VDAYR_Thursday,108.846673285398,26.324540068209938,82.52213321718898,0.14326726426602754,0.14343446196452042,0.14321401021645366,0.0
VDAYR_Friday,105.76742383353792,25.283318678119965,80.48410515541919,0.13921426354818348,0.1377611613299593,0.1396770903589466,0.0
VDAYR_Saturday,98.7029936765482,24.056382688829924,74.64661098771951,0.12991584815668508,0.1310759579785341,0.12954634219746677,0.0
VDAYR_Sunday,97.30053377916862,23.050679357539927,74.24985442162978,0.1280698882694816,0.12559618451066984,0.12885778633137113,0.0
VTIMER_7a-3p,321.8546065006979,76.68298907315935,245.17161742754905,0.4236347108548673,0.4178224292253604,0.4254859775697098,0.0
VTIMER_3p-11p,306.9247008530134,72.37715953996968,234.5475413130598,0.40398352011718386,0.39436126558095413,0.4070482992659221,0.0
VTIMER_11p-7a,130.96629010028116,34.46994386018998,96.49634624008918,0.17238176902789482,0.18781630519365716,0.16746572316431604,0.0
ANTIHYPERTENSIVE_RX,25.822318085909963,3.0880710093400023,22.734247076570007,0.033988111510540576,0.01682596552818088,0.039454417453293575,0.0
ANTIHYPERTENSIVE_GIVEN,39.8577905500599,5.282011122310007,34.57577942774992,0.05246202239753208,0.02878008206244291,0.06000494455439261,0.0
TYLENOL_GIVEN,68.7396046710302,16.27587325790993,52.46373141312027,0.09047713458476357,0.08868231382968217,0.09104880198403366,0.0
NO_TRIAGE_BP,36.83374513489004,35.9262799299598,0.90746520493,0.04848168289269826,0.19575144024504657,0.0015748712019825826,0.0
DIED,3.8739392361999987,2.524849913919999,1.3490893222800011,0.005098995307352711,0.013757144018695362,0.0023412929895475867,0.0
PAYTYPER_Self-pay,68.88008342838069,16.42830164372995,52.45178178465064,0.09066203694921457,0.08951285003094397,0.09102806386024778,0.0
PAYTYPER_Medicaid or CHIP or other state-based program,199.01668347075028,55.35402796295028,143.66265550780068,0.26195174297510987,0.3016073670370754,0.24932105135318353,0.0
PAYTYPER_Private insurance,189.6499180319098,40.762061587350075,148.8878564445634,0.24962292465720287,0.22210015283065787,0.2583891879992765,0.0
PAYTYPER_Unknown,73.76859202908693,18.996628673500098,54.77196335558969,0.09709643896100381,0.10350688771249449,0.09505465035589693,0.0
PAYTYPER_Medicare,185.72311287152155,38.65432920327985,147.0687836682412,0.24445434563081925,0.21061575615398437,0.2552322566765364,0.0
PAYTYPER_Worker's compensation,5.759346637010002,0.9191959734499999,4.840150663560004,0.007580625220218478,0.005008421022746466,0.008399896604173965,0.0
PAYTYPER_Blank,14.7924637369999,7.10914137228,7.683322364719988,0.019470285562128424,0.038735562525329746,0.013334112494902342,0.0
PAYTYPER_Other,18.79234196429987,4.349407312319996,14.44293465197996,0.02473504555640002,0.023698605791048544,0.025065161432028832,0.0
PAYTYPER_No charge,3.3630552840599925,0.9569987444600003,2.4060565395999984,0.004426554487883644,0.005214396895697628,0.0041756192237146945,0.0
ADMITHOS,100.84356135246867,28.01491579955993,72.82864555291033,0.13273332769601204,0.1526448083909283,0.12639133262362687,0.0
ARREMS_No,590.6470064487994,135.0688045211293,455.5782019276315,0.777427349928849,0.7359490898788781,0.7906385683649187,0.0
ARREMS_Yes,146.06169810754236,40.046872772199755,106.01482533533822,0.19225079894770888,0.2182033051501922,0.18398468007014834,0.0
