,n_total,n_nohtn,n_htn,proportion_total,proportion_nohtn,proportion_htn,p_value
TOTALS,759.7455974540201,431.1987560516099,328.54684140241005,1.0,0.567556768340084,0.43244323165991594,
AGE_BIN_Age 26-44,252.10170402341936,160.13408328597353,91.96762073744875,0.3318238432288805,0.37136953907819215,0.2799224011556027,0.0
AGE_BIN_Age 45-65,229.8849756421839,111.47269660325854,118.41227903891946,0.302581517303353,0.2585181312302262,0.3604121669028303,0.0
AGE_BIN_Age 18-25,115.12059593776966,88.19378211840788,26.926813819359964,0.1515251899103433,0.2045316246409892,0.08195730540102912,0.0
AGE_BIN_Age over 65,162.63832185065138,71.39819404397043,91.24012780667819,0.2140694495574111,0.16558070505061018,0.27770812654055765,0.0
SEX_Male,329.30465910315337,174.25923205443212,155.04542704873407,0.4334406941042881,0.4041273997404066,0.47191270014018016,0.0
SEX_Female,430.4409383508543,256.9395239971799,173.501414353681,0.5665593058956779,0.595872600259615,0.5280872998598661,0.0
HX_HTN,249.92956548179922,99.01401270318854,150.91555277861215,0.3289648091668219,0.22962499616149,0.45934257695015474,0.0
VDAYR_Monday,124.45048701306087,70.35230340610023,54.09818360696027,0.16380547308217924,0.16315516317881254,0.16465896727554144,0.0
VDAYR_Tuesday,114.68131927544869,65.72414338366977,48.95717589178029,0.15094700075887862,0.15242192251548234,0.14901125112877947,0.0
VDAYR_Wednesday,109.99616659084825,61.971399462209845,48.02476712864018,0.14478026191853424,0.1437188734718742,0.14617327296055196,0.0
VDAYR_Thursday,108.846673285398,61.363787693110034,47.48288559229013,0.14326726426602754,0.14230975120384268,0.14452394486463413,0.0
VDAYR_Friday,105.76742383353792,59.83033962612003,45.93708420742014,0.13921426354818348,0.13875350702301184,0.13981897987920996,0.0
VDAYR_Saturday,98.7029936765482,56.03686851138003,42.66612516516992,0.12991584815668508,0.12995600688763106,0.12986314214146716,0.0
VDAYR_Sunday,97.30053377916862,55.91991396902029,41.380619810149824,0.1280698882694816,0.1296847757193627,0.12595044174984893,0.0
VTIMER_7a-3p,321.8546065006979,182.09318100374398,139.76142549697008,0.4236347108548673,0.4222952372848506,0.4253926925621912,0.0
VTIMER_3p-11p,306.9247008530134,174.10552294895345,132.81917790407996,0.40398352011718386,0.4037709304711393,0.40426253175085247,0.0
VTIMER_11p-7a,130.96629010028116,75.00005209892016,55.96623800136031,0.17238176902789482,0.17393383224404457,0.17034477568698825,0.0
ANTIHYPERTENSIVE_RX,25.822318085909963,8.36906802251001,17.45325006339996,0.033988111510540576,0.019408840830488067,0.05312256233814601,0.0
ANTIHYPERTENSIVE_GIVEN,39.8577905500599,12.108542399999974,27.749248150060115,0.05246202239753208,0.02808111626034216,0.08446055372686781,0.0
TRIAGE_TACHYCARDIA,133.45356296266084,68.78932610154015,64.66423686112017,0.17565559235864492,0.1595304372661686,0.19681892720411293,0.0
TYLENOL_GIVEN,68.7396046710302,38.0536760471401,30.685928623890057,0.09047713458476357,0.08825089477434882,0.09339894577256438,0.0
NO_TRIAGE_BP,36.83374513489004,36.17649086370983,0.65725427118,0.04848168289269826,0.08389748429464507,0.002000488783804814,0.0
DIED,3.8739392361999987,2.9530394452499964,0.9208997909499999,0.005098995307352711,0.006848441475783382,0.002802948240254405,0.0
PAYTYPER_Self-pay,68.88008342838069,41.27940076540039,27.6006826629799,0.09066203694921457,0.0957317250712578,0.08400836405903822,0.0
PAYTYPER_Medicaid or CHIP or other state-based program,199.01668347075028,126.74004212308027,72.27664134767039,0.26195174297510987,0.29392487882760254,0.21998884858901108,0.0
PAYTYPER_Private insurance,189.6499180319098,106.40470498178922,83.24521305011939,0.24962292465720287,0.24676487000128422,0.25337395634299137,0.0
PAYTYPER_Unknown,73.76859202908693,43.185070803389635,30.583521225699933,0.09709643896100381,0.10015119523726447,0.09308724775789773,0.0
PAYTYPER_Medicare,185.72311287152155,86.7256544321793,98.99745843933819,0.24445434563081925,0.20112686601025492,0.3013191605092541,0.0
PAYTYPER_Worker's compensation,5.759346637010002,3.271024111839997,2.488322525169999,0.007580625220218478,0.007585884852247915,0.0075737222569196285,0.0
PAYTYPER_Blank,14.7924637369999,10.496879469750036,4.295584267249993,0.019470285562128424,0.024343482726777266,0.01307449570634836,0.0
PAYTYPER_Other,18.79234196429987,10.91319075263,7.879151211670006,0.02473504555640002,0.025308956947278364,0.023981819998749355,0.0
PAYTYPER_No charge,3.3630552840599925,2.182788611550003,1.1802666725100006,0.004426554487883644,0.005062140326046726,0.0035923847798141678,0.0
ADMITHOS,100.84356135246867,54.630284899089794,46.21327645338004,0.13273332769601204,0.12669397611284397,0.14065962788173214,0.0
LEFT_AMA,8.55721245104,5.170563662310007,3.3866487887300014,0.011263260333085027,0.011991137705627406,0.01030796331589771,0.0
LWBS,8.066883583269995,6.0475571502,2.0193264330700007,0.010617874733730276,0.014024987468832755,0.006146236026651542,0.0
ADMITS_COMBINED,139.3287956924294,75.8647949790697,63.46400071336033,0.1833887503387068,0.17593927142496382,0.1931657612122055,0.0
DISCHARGED_COMBINED,577.4650211210428,326.4613096319584,251.0037114890475,0.7600768244741042,0.7571016962602041,0.7639815084437881,0.0
ARREMS_No,590.6470064487994,334.98832235982223,255.65868408894994,0.777427349928849,0.7768768292080445,0.7781498765828113,0.0
ARREMS_Yes,146.06169810754236,81.84216984317943,64.21952826436059,0.19225079894770888,0.1898014980205211,0.19546536496969497,0.0
ARREMS_Unknown,23.03689289770998,14.368263848609926,8.66862904910001,0.030321851123466064,0.03332167277145493,0.026384758447526163,0.0
RACERETH_Non-Hispanic Black,173.55346664767845,98.38019484665726,75.17327180100884,0.2284362913444574,0.22815509893280822,0.22880534014611814,0.0
RACERETH_Non-Hispanic White,461.4241597912567,256.28636995181955,205.137789839438,0.6073403535835218,0.5943578601630962,0.6243791264703954,0.0
RACERETH_Non-Hispanic Other,24.239013831639852,13.70598162194,10.533032209699979,0.03190411884302676,0.0317857633622203,0.032059453576664454,0.0
RACERETH_Hispanic,100.52895718344871,62.82620963119006,37.70274755225973,0.1323192362289812,0.14570127754188483,0.1147560798068422,0.0
REGION_Northeast,125.78827120472839,74.64046446699945,51.14780673771984,0.1655663048608043,0.17309990675869905,0.1556788874286412,0.0
