,KIND,NOT_EXPOSED,EXPOSED,RR/DIFF,LCI,UCI
TOTAL,-,431.20, 328.55,-,-,-
DIED,categorical,3.0 (0.7%),0.9 (0.3%),0.40928264484201937,0.4083281335389277,0.4102393874188169
ADMITHOS,categorical,54.6 (12.7%),46.2 (14.1%),1.1102313795602186,1.1098268034299827,1.1106361031745884
HTN_COMPLICATION,categorical,4.3 (1.0%),5.9 (1.8%),1.7851511122206896,1.782954827416434,1.7873501024591307
ANTIHYPERTENSIVE_GIVEN,categorical,12.1 (2.8%),27.7 (8.4%),3.0077349113841345,3.005751632962174,3.0097194984282893
ANTIHYPERTENSIVE_RX,categorical,8.4 (1.9%),17.5 (5.3%),2.7370291096776516,2.734808956403257,2.739251065301182
TYLENOL_GIVEN,categorical,38.1 (8.8%),30.7 (9.3%),1.0583342640477331,1.057854568226775,1.0588141773920519
CBC,categorical,198.8 (46.1%),172.6 (52.5%),1.1394282216075304,1.1392632242220349,1.139593242889292
TROPONIN,categorical,26.3 (6.1%),29.4 (8.9%),1.465577639116391,1.4648358608657674,1.4663197929961127
XRAY,categorical,153.0 (35.5%),136.7 (41.6%),1.1723191179272068,1.1721074480670077,1.172530826012681
CATSCAN,categorical,90.7 (21.0%),88.3 (26.9%),1.2776749800172507,1.2773485669122422,1.2780014765337242
BPSYS,numeric,122,157,35.72593676806886,35.723483727376916,35.72838980876081
ED_LOS,numeric,273,266,-2.8877862026649836,-2.951599084775996,-2.8239733205539714
HOSP_LOS,numeric,6,5,-0.4661101219713748,-0.4687077950321653,-0.4635124489105843
