,KIND,NOT_EXPOSED,EXPOSED,RR/DIFF,LCI,UCI
TOTAL,-,708.23, 51.51,-,-,-
DIED,categorical,3.7 (0.5%),0.2 (0.4%),0.8408885961329539,0.8373110959771104,0.8444813815363313
ADMITHOS,categorical,91.0 (12.9%),9.8 (19.1%),1.482636223859443,1.4817549097491254,1.4835180621553437
HTN_COMPLICATION,categorical,7.7 (1.1%),2.5 (4.9%),4.552992576896475,4.546676545334663,4.559317382395534
ANTIHYPERTENSIVE_GIVEN,categorical,27.4 (3.9%),12.4 (24.1%),6.227915473406079,6.224132489077825,6.231700757005832
ANTIHYPERTENSIVE_RX,categorical,20.0 (2.8%),5.8 (11.2%),3.974031794900579,3.970534340718279,3.977532329823329
TYLENOL_GIVEN,categorical,63.7 (9.0%),5.0 (9.8%),1.087224973067756,1.0862882778609313,1.0881624759772213
CBC,categorical,339.8 (48.0%),31.6 (61.4%),1.2792538779483678,1.2789599763467505,1.2795478470877915
TROPONIN,categorical,49.4 (7.0%),6.3 (12.2%),1.7502613436566354,1.748896041608787,1.7516277115481
XRAY,categorical,265.2 (37.4%),24.6 (47.7%),1.2730504299568086,1.2726665556692478,1.2734344200323329
CATSCAN,categorical,162.5 (23.0%),16.4 (31.8%),1.3874089461656565,1.3868239819432637,1.3879941571267456
BPSYS,numeric,134,188,54.75996799771241,54.75399449052273,54.76594150490209
ED_LOS,numeric,269,280,23.225513551589643,23.103258833106167,23.347768270073118
HOSP_LOS,numeric,5,5,-0.08886163228683319,-0.09386498414481005,-0.08385828042885633
